2025-11-06 01:58:28.678 [warning] Dir "/home/coder/.pixi/envs" is not watchable (directory does not exist)
2025-11-06 02:15:10.866 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:16:47.529 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:16:59.788 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:18:00.119 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:18:03.366 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:18:06.085 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:20:12.324 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:20:14.053 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:20:15.704 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:20:24.402 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:20:27.104 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:20:31.183 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:20:34.743 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:20:39.859 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:20:49.306 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:20:52.497 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:20:54.283 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:20:56.809 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:20:58.889 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:21:15.782 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:21:24.762 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:21:27.955 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:21:33.268 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:21:34.976 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:21:38.276 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:21:40.139 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:21:42.315 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:21:48.162 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:21:50.668 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:21:57.567 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:22:00.476 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:22:04.626 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:22:06.334 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:22:10.293 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:22:24.746 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:22:29.250 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:22:32.203 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:22:35.743 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:22:38.889 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:22:42.359 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:22:46.214 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:22:50.302 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:23:22.270 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:23:24.521 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:23:26.022 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:23:29.167 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:23:30.466 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:23:31.734 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:23:34.217 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:23:35.619 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:24:43.929 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:31:53.351 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:31:56.134 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:31:59.522 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:32:02.192 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:32:22.549 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:32:47.274 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:32:53.621 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:32:54.611 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:33:03.437 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:33:06.231 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:33:08.319 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:33:18.373 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:33:22.138 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:33:28.228 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:33:32.467 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:33:34.489 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:34:28.667 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:35:00.161 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:35:06.046 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:35:10.678 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:35:13.307 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:35:17.395 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:35:23.267 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:35:28.296 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:35:41.567 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:35:44.136 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:36:57.523 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:36:59.532 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:37:01.785 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:37:27.669 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:37:29.122 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:37:32.322 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:37:34.267 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:37:35.628 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:37:38.322 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:37:39.767 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:37:41.808 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:37:45.335 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:39:00.409 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:39:03.116 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:39:07.277 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:39:13.266 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:39:35.609 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:39:38.879 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:39:42.381 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:39:45.968 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:39:50.117 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:39:55.504 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:40:01.514 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:40:03.933 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:40:08.033 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:40:12.975 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:40:15.661 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:40:22.998 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:40:25.119 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:40:33.431 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:40:35.661 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:40:40.012 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:40:46.211 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:40:47.543 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:40:50.737 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:40:53.167 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:40:55.877 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:40:59.019 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:41:03.962 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:41:09.720 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:41:15.048 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:41:16.435 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:41:19.899 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:41:21.760 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:41:29.516 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:41:32.912 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:41:37.074 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:41:39.040 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:41:43.580 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:41:53.085 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:47:20.789 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:47:29.374 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:47:30.791 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:47:32.413 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:47:46.403 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:47:48.084 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:47:52.983 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:47:54.236 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:47:58.466 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:48:01.567 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:48:05.467 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:48:14.420 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:52:48.239 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:53:42.744 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:53:44.867 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:53:47.122 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:53:55.195 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
